Current_question_number,Guidance_URLs,Edited_question_number
C0.1,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C0.1&otype=ORS&incchild=1&microsite=1&gettags=1,C0.1
C0.2,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C0.2&otype=ORS&incchild=1&microsite=1&gettags=1,C0.2
C0.3,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C0.3&otype=ORS&incchild=1&microsite=1&gettags=1,C0.3
C0.4,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C0.4&otype=ORS&incchild=1&microsite=1&gettags=1,C0.4
C0.5,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C0.5&otype=ORS&incchild=1&microsite=1&gettags=1,C0.5
C-AC0.6/C-FB0.6/C-PF0.6,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC0.6/C-FB0.6/C-PF0.6&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC0.6_C-FB0.6_C-PF0.6
C-AC0.6a/C-FB0.6a/C-PF0.6a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC0.6a/C-FB0.6a/C-PF0.6a&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC0.6a_C-FB0.6a_C-PF0.6a
C-AC0.6b/C-FB0.6b/C-PF0.6b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC0.6b/C-FB0.6b/C-PF0.6b&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC0.6b_C-FB0.6b_C-PF0.6b
C-AC0.6c/C-FB0.6c/C-PF0.6c,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC0.6c/C-FB0.6c/C-PF0.6c&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC0.6c_C-FB0.6c_C-PF0.6c
C-AC0.6d/C-FB0.6d/C-PF0.6d,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC0.6d/C-FB0.6d/C-PF0.6d&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC0.6d_C-FB0.6d_C-PF0.6d
C-AC0.6e/C-FB0.6e/C-PF0.6e,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC0.6e/C-FB0.6e/C-PF0.6e&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC0.6e_C-FB0.6e_C-PF0.6e
C-AC0.6f/C-FB0.6f/C-PF0.6f,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC0.6f/C-FB0.6f/C-PF0.6f&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC0.6f_C-FB0.6f_C-PF0.6f
C-AC0.6g/C-FB0.6g/C-PF0.6g,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC0.6g/C-FB0.6g/C-PF0.6g&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC0.6g_C-FB0.6g_C-PF0.6g
C-AC0.7/C-FB0.7/C-PF0.7,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC0.7/C-FB0.7/C-PF0.7&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC0.7_C-FB0.7_C-PF0.7
C-CE0.7,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CE0.7&otype=ORS&incchild=1&microsite=1&gettags=1,C-CE0.7
C-CH0.7,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CH0.7&otype=ORS&incchild=1&microsite=1&gettags=1,C-CH0.7
C-CO0.7,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CO0.7&otype=ORS&incchild=1&microsite=1&gettags=1,C-CO0.7
C-CN0.7/C-RE0.7,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CN0.7/C-RE0.7&otype=ORS&incchild=1&microsite=1&gettags=1,C-CN0.7_C-RE0.7
